organization,email,mission
COLLECTIVE X,the1xcollective@gmail.com,being the premier fashion magazine
Fashion Collective,aep226@cornell.edu,provide members of the Cornell community with an outlet to express creativity in fashion and fashion management
Cornell Fashion Industry Network,cornellfashionnetwork@gmail.com,being the premier fashion group at Cornell
Thread Magazine,thethreadmagazine@gmail.com,"being the largest fashion, art, and cultural publication at Cornell University. "
Duke Fashion Exchange,dukefashionexchange@gmail.com,"be a campus community for students to buy, sell, and exchange clothing"
Duke Climate Coalition,brennan.mcdonald@duke.edu,perserve and protect our environment
Duke Conservation Tech,ashley.huang@duke.edu,"bring together passionate students, visionary experts, and driven organizations to address critical environmental issues"
Duke University Environmental Justice Network,duke.ejnetwork@gmail.com,protect our environment and learn about environmental justice
Sanford Energy and Environment Club (SEEC),pd94@duke.edu,"provide a space for students interested in energy/environmental policy to share knowledge and ideas with each other, as well as network with industry professionals."
Duke Association for Business Oriented Women,jennifer.oz@duke.edu,"promote education, experience, and exchange between interested students and outstanding industry professionals"
Duke Business Society,dukebsociety@gmail.com,support students interested in entrepreneurship and business
Scoop,scoopduke@gmail.com,turn passion for our planet into action
"	
Duke CommuniTEA",js758@duke.edu,"promote a deeper understanding of different cultures through tea appreciation, to facilitate interactions among students using tea as a medium, and to provide a place for relaxation and wellness with the Duke community."
Duke Consulting Club, dukeconsultingclub@outlook.com,provide support and information to pursue a successful career in consulting.
ABA,carol510@berkeley.edu,introduce Berkeley students to consulting
AI Entrepreneurs at Berkeley,contact@aientrepreneurs.org,"host the premier AI incubator for early stage startups and a community of risk-takers, researchers, and investor partners."
ReUSE,ucberkeleyreuse@gmail.com,being a campus not-for-profit thrift store run by student volunteers in the ReUSE Club
Environmental Sciences Student Association,berkeley.essa@gmail.com,"bring students interested in the environment together in a fun, academic, and social atmosphere"
EthiCal Apparel,ethicalapparel@gmail.com,"provide custom orders of high-quality screen printing and design services on sustainable, ethically-made clothing"
Environmental Conservation Outreach,ecoslp@berkeley.edu,"engage students in environmental law pro bono work in order to address environmental injustices, to preserve magnificent places and wildlife, and to combat climate change"
Sustainable Efforts in Environmental Design,sustainabledesign.cal@gmail.com,build a strong community amongst the Sustainable Environmental Design major while creating connections in the professional field
Student Association for Environmental Justice and Health Equity,saejhe.berkeley@gmail.com,investigate the science behind environmental issues impacting community health to advocate and raise awareness
Students of Color Environmental Collective,socenvcollective@gmail.com,"be a healing space for students of color to seek refuge from white-dominated environmental and social justice spaces, to learn more about the intersections between environmental and social justice, and to raise conversation about environmental racism and justice on and off campus"
The Environmentalist,jlee6@berkeley.edu,educate Berkeley students and locals about the various environmental issues in Berkeley and the greater Bay Area
Bay Area Environmentally Aware Consulting Network,info@beacn.berkeley.edu,consult for local environmentally aware companies
Environmental Health Alliance, ehaberkeley@gmail.com,provide a tight-knit community to support you in “finding your fit” in the world of tech
Codeology,alexchen4@berkeley.edu,provide a tight-knit community to support you in “finding your fit” in the world of tech
"Food, Equity, Entrepreneurship, & Development",feedberkeley@gmail.com,provide services to companies that work to transform the food system
Entrepreneurs @ Berkeley,entrepreneuratberkeley@gmail.com,"provide a community for exchanging ideas, understanding the start-up process, and molding the next entrepreneurial minded consultants."
"Management, Entrepreneurship & Technology Student Board",trishala@berkeley.edu,"foster social integration, professional development, academic excellence, and outreach"
Next Generation of Entrepreneurs,claytonly3@gmail.com,promote and support entrepreneurship among students by utilizing the tools and resources that are readily available to all
Haas Entrepreneurs Association,yuguang_yuan@berkeley.edu,foster and support the entrepreneurial spirit among students and founders within the UC Berkeley community
Sustainable Entrepreneurship at Berkeley,seab.berkeley@gmail.com,to promote sustainable behavior and implement green initiatives at UC Berkeley
Association of Chinese Entrepreneurs at Berkeley,aceberkeley@gmail.com,"connect entrepreneurial individuals, consolidate entrepreneurship network, and incubate future industry leaders"
Enactus of Berkeley,sofiaboselli8@berkeley.edu,"Enactus at Berkeley (Est. Fall 2016) is a student-run organization at UC Berkeley that connects student, academic and business leaders through entrepreneurial-based projects that transform opportunities into real, sustainable progress for themselves and their communities. We are the only social impact entrepreneurship club on-campus!"
Fashion and Student Trends,calfastinternal@gmail.com,"The purpose of Fashion and Student Trend is to provide opportunities for students interested in fashion or the fashion industry to learn from other students and experts in the field or find a community during college.  We hold a 100% student-led semesterly fashion show, featuring student designers and student models. We strive to provide our students/audience with professional industry experience. We also invite experts in the fashion industry to talk to us about future career development and opportunities. "
Garb,berkeleygarb@gmail.com,"Garb aims to consistently publish interesting, humorous Berkeley relevant articles relating to fashion through an online blog platform. This online publication will cater to those who have a passion for fashion as well as those who seek to get into fashion world. Our blog will serve as a platform for community building based on a mutual interest in style."
BARE Magazine,editor@baremagazine.org,"BARE Magazine, UC Berkeley’s premier fashion, arts, and lifestyle publication, is a foundational organization within the UC Berkeley community. Our mission is to foster an inclusive and self-expressed community on the UC Berkeley campus, to effectively offer valuable work experience to students, and to encourage and acknowledge the creative power of UC Berkeley students. Producing a biannual print magazine and regular online content, as well as multiple in-staff and student body oriented events throughout the academic year are means to this end. "
Azure,azureatberkeley@gmail.com,"create a community at the intersection of fashion, technology, and design."
STEM Ed. at Berkeley,stemedonline@gmail.com,empower and inspire students interested in the STEM fields and those interested in broadening their academic and career horizons in the increasingly isolated and competitive environment the pandemic has brought
Tech + Social Impact,techimpactberkeley@gmail.com,help students understand the social impacts of technology
Launchpad, team@callaunchpad.org,"implement cutting edge research in machine learning, artificial intelligence, and data science into useful open source projects"
ASES,ases-contact@lists.stanford.edu,connect student entrepreneurs all over the world
Business Association of Stanford Entrepreneurial Students,faierman@stanford.edu,"empowers the next generation of makers, designers, artists, engineers, and entrepreneurial leaders"
Stanford SENSA,agarwal4@stanford.edu,back social entrepreneurs from day 1
Stanford Women in Tech Entrepreneurship,skoss10@stanford.edu,support tech entrepreneurs
Stanford FashionX,STANFORDFASHIONX@GMAIL.COM,support fashion initiatives at Stanford
Bruin Earth Solutions,bhs@g.ucla.edu,facilitate various sustainable projects around campus
Clean Consulting,Cleanconsultingucla@gmail.com,empower companies to understand and act on their connections with the natural world by making them aware of their corporate social responsibility and the growing presence of sustainability in the professional sphere
